title_company;content;thumbnail;adr_title;adr_url;adr_target;about_company;related_companies;tags;boss;payments;services_list;additional_information;seo;gallery;news;contacts_fax;contacts_phone;contacts_comment-to-phone;emails-group_email;emails-group_comment-to-email;connectivity_options_options_list;connectivity_options_comment-to-option;links_link;social_links_social_link;social_links_social_lists
Тойота Центр Чернігів АК «Сівер-Авто»;"ойота Центр Чернигов «Сивер-Авто» - единственный официальный дилер «Тойота» в Черниговском регионе.
Для Вас – весь модельный ряд автомобилей Тойота, а также полный спектр услуг, связанных с покупкой и техническим обслуживанием автомобиля:
Кредит, страхование, гарантийное и послегарантийное обслуживание, оригинальные запчасти и аксессуары, а также тест-драйв любой модели Тойота.
Предоставляемые услуги:
СТО Тойота Центр Чернигов:
Это – обслуживание, ремонт, шиномонтаж, покраска и мойка автомобиля
Это – заправка систем кондиционирования, установка противоугонных устройств, мультимедийных центров и систем спутниковой навигации GPS
Это – высококвалифицированные механики, самое современное оборудование и только оригинальные запчасти.";https://24city.cn.ua/wp-content/uploads/2020/10/95427902_2729490140617634_2726023435057627136_o.jpg;проспект Миру, 167, Чернігів, Чернігівська область, 14029;https://g.page/toyotachernihiv?share;_blank;"ойота Центр Чернигов «Сивер-Авто» - единственный официальный дилер «Тойота» в Черниговском регионе.
Для Вас – весь модельный ряд автомобилей Тойота, а также полный спектр услуг, связанных с покупкой и техническим обслуживанием автомобиля:
Кредит, страхование, гарантийное и послегарантийное обслуживание, оригинальные запчасти и аксессуары, а также тест-драйв любой модели Тойота.
Предоставляемые услуги:
СТО Тойота Центр Чернигов:
Это – обслуживание, ремонт, шиномонтаж, покраска и мойка автомобиля
Это – заправка систем кондиционирования, установка противоугонных устройств, мультимедийных центров и систем спутниковой навигации GPS
Это – высококвалифицированные механики, самое современное оборудование и только оригинальные запчасти.";;;;;;;;;;;;;;;;;;;
Ford Magr-avto;;https://24city.cn.ua/wp-content/uploads/2020/10/ford-logo-1976-1366x768-1.jpg;вулиця Незалежності, 9, Чернігів, Чернігівська область, 14000;https://goo.gl/maps/EpqwLR117mecVrtS7;_blank;;;;;;;;;;;;;;;;;;;;
МАГР-Авто;"Для клиентов МАГР Авто разработан полный комплекс услуг для покупки автомобиля в Чернигове, таких как:

-тест-драйв понравившегося автомобиля
-страхование автомобиля, КАСКО, ОСАГО
-зеленая карта
-автомобильное кредитование
-лизинг авто
-услуга Trade-in
-постановка автомобиля на учет в ГАИ.

-мойка
-проведение ТО
-диагностика
-сервис и ремонт автомобиля, ремонт двигателя
-шиномонтаж и балансировка колес
-современное оборудование
-большой выбор запчастей и аксессуаров оригинал и не оригинал
-продажа бу автомобилей разных марок и авто с пробегом";https://24city.cn.ua/wp-content/uploads/2020/10/th_file_51656de871e10.jpg;14026, г. Чернигов, ул. Независимости, 9;https://goo.gl/maps/7dQrM91LkRBm9iuo8;_blank;"Для клиентов МАГР Авто разработан полный комплекс услуг для покупки автомобиля в Чернигове, таких как:

-тест-драйв понравившегося автомобиля
-страхование автомобиля, КАСКО, ОСАГО
-зеленая карта
-автомобильное кредитование
-лизинг авто
-услуга Trade-in
-постановка автомобиля на учет в ГАИ.

-мойка
-проведение ТО
-диагностика
-сервис и ремонт автомобиля, ремонт двигателя
-шиномонтаж и балансировка колес
-современное оборудование
-большой выбор запчастей и аксессуаров оригинал и не оригинал
-продажа бу автомобилей разных марок и авто с пробегом";;;;;;;;;;;;;;;;;;;
Avtotsentr;;;-Б Украина 14021, Любецька вулиця, 151, Чернігів, Чернігівська область;https://goo.gl/maps/HLvi3vjRXGEXo18T6;_blank;;;;;;;;;;;;;;;;;;;;
ЧЕРНИГОВСКАЯ ОБЛАСТНАЯ БОЛЬНИЦА (Больница);;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_4a782fbf3201c.jpg;г. Чернигов, ул. Волковича, 25;https://goo.gl/maps/M7kwNrk9brzPxkUV6;;"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Чернігівська обласна лікарня – заклад охорони здоров'я, центр надання консультативної, лікувальної і профілактичної медичної допомоги населенню області і м. Чернігова.</div>
</div>
</div>
<div class=""text block""></div>";;;;;;"Приймальне відділення
тел. (046-22) 5-35-20
(046-22) 5-30-35

Поліклінічне відділення
тел. (046-22) 5-60-05

Відділення анестезіології з ліжками інтенсивної терапії
тел. (046-22) 5-32-39

Відділення інтенсивної терапії загального профілю
тел. (046-22) 5-31-69

Відділення загальної хірургії та патології підшлункової залози
тел. (046-22) 5-32-81

Відділення інвазивної та ендокринної хірургії
тел.(046-22)5-34-37

Нейрохірургічне відділення
тел. (046-22) 5-34-89

Травматологічно-ортопедичне відділення
тел. (046-22) 5-30-71

Урологічне відділення
тел. (046-22) 5-69-44

Відділення колопроктології
тел. (046-22) 5-34-24

Опікове відділення
тел. (046-22) 5-32-98

Відділення щелепно-лицевої хірургії
тел. (046-22) 5-68-69

Відділення мікрохірургії ока
тел. (046-22) 5-68-82

Отоларингологічне відділення
тел. (046-22)5-69-46

Відділення гастроентерології та гепатології
тел. (046-22) 5-64-43

Ендокринологічне відділення
тел. (046-22) 5-60-52

Неврологічне відділення для хворих з порушенням мозкового кровообігу
тел. (046-22) 5-32-59

Відділення нефрології та гемодіалізу
тел. (046-22) 5-32-68

Пульмонологічне відділення
тел. (046-22) 5-31-21

Ревматологічне відділення
тел. (046-22) 5-34-81

Фізіотерапевтичне відділення
тел. (046-22) 5-65-57

Відділення променевої діагностики
тел. (046-22) 5-30-65 – рентген-кабінет
(046-22) 5-34-09 – ком’ютерна томографія

Відділення функціональної діагностики
тел. (046-22) 5-30-
Ендокринологічне диспансерне відділення
тел. (046-22) 5-36-26

Клініко- діагностична лабораторія
тел. (046-22) 5-30-38

Кабінет ендоскопічних досліджень
тел. (046-22) 5-64-21";;;;;;;;;;;;;
Центральна районна лікарня (Лікарня);;https://24city.cn.ua/wp-content/uploads/2020/10/placeholder.png;г. Чернигов, ул. Шевченко, 114;https://goo.gl/maps/ACi67NpP9zYyqjHx6;;;;;;;;;;;;;;;;;;;;;
Відділення охорони здоров'я Чернігівського прикордонного загону;;https://24city.cn.ua/wp-content/uploads/2020/10/placeholder.png;г. Чернигов, ул. Подводника Китицина (бывшая Квитневая), 3в;https://goo.gl/maps/FpuS9eMhiwP4Yhtc8;;"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Отделение охраны здоровья (с медицинским пунктом) отдела обеспечения Черниговского пограничного отряда оказывает медицинскую помощь персоналу Государственной пограничной службы Украины (врач-терапевт, врач-стоматолог).</div>
</div>
</div>
<div class=""text block""></div>";;;;;"<div class=""text block"">
<div class=""items"">
<div class=""item"">Оказание медицинской помощи персоналу Государственной пограничной службы Украины (врач-терапевт, врач-стоматолог).</div>
</div>
</div>
<div class=""text block""></div>";"<div id=""buAbout"">
<div class=""text block"">
<div class=""items"">
<div class=""item"">Проезд: автобус №35 до остановки ""Автосервис"".</div>
</div>
</div>
</div>
<div id=""buMap"">
<div>
<div id=""mapCPanelwm"">
<div>
<div>
<div></div>
</div>
</div>
</div>
</div>
</div>";;;;;;;;;;;;;
"КНП ""Черниговский областной кардиологический диспансер"" (Кардиодиспансер)";;;г. Чернигов, ул. Вячеслава Чорновола (ул. Войкова), 24;https://goo.gl/maps/6sbVkDh8mPRxVweKA;;"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Черниговский областной кардиологический диспансер</div>
</div>
</div>";;;;;"<div id=""buAbout"">
<div class=""text block"">
<div class=""items"">
<div class=""item"">Диагностика и лечение кардиологических заболеваний</div>
</div>
</div>
</div>";;;;;;;;;;;;;;
Стоматология (Стоматологический кабинет);;https://24city.cn.ua/wp-content/uploads/2020/10/placeholder.png;г. Чернигов, ул. Старобелоуская, 33, офис 32;https://goo.gl/maps/9fk1mnqKd2igW7VL6;;"<div id=""buAbout"">
<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Стоматологические услуги</div>
</div>
</div>
</div>
<div id=""buMap"">
<div>
<div id=""mapCPanelwm"">
<div>
<div>
<div></div>
</div>
</div>
</div>
</div>
</div>";;;;;;;;;;;;;;;;;;;
Отоларинголог;;;г. Чернигов, ул. Белова, 29;https://goo.gl/maps/sohsR3HcDMZmyLZ16;;"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Доступная, качественная ЛОР помощь в удобное время без потери рабочего времени.

Симптомы с которыми нужно обратиться к ЛОР врачу:
• Затруднённое носовое дыхание
• Длительное пользование каплями для носа
• Хриплый голос дольше 2-3 недель
• Снижение слуха
• Выделения из уха, носа, глотки
• Неприятный запах из глотки
• Частые ангины, ОРВИ</div>
</div>
</div>";;;;;"Консультативная помощь при ЛОР заболеваниях взрослым и детям,
Назначение консервативного лечения;
Инструментальные консервативные методы лечения (промывание миндалин, «кукушка», удаление серных корок слуховых проходов и др..);
Полный спектр врачебных манипуляций и проведение оперативных вмешательств на ЛОР органах (на базе ЛОР отделения Черниговской областной больницы);";;;;;;;;;;;;;;
Черниговская городская поликлиника № 3;;;г. Чернигов, просп. Мира, 44;https://goo.gl/maps/Ub6NHkQfs3Yti3sg8;;"<div id=""buAbout"">
<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Черниговская городская поликлиника № 3</div>
</div>
</div>
</div>
<div id=""buMap"">
<div>
<div id=""mapCPanelwm"">
<div>
<div>
<div></div>
</div>
</div>
</div>
</div>
</div>";;;;;;;;;;;;;;;;;;;
Поліклінічне відділення міської лікарні №3;;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_52a5c77c64dfe.png;г. Чернигов, ул. Защитников Украины (ул. Одинцова), 22;https://goo.gl/maps/pdQRMEv4AYfds8PT7;;;;;;;;;;;;;;;;;;;;;
Отделение профмедосмотров (Черниговской городской больницы №1);;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_52a5c77c64dfe.png;г. Чернигов, пер. 1-го Мая, 3А;https://goo.gl/maps/8hY5hsjk5DB7LNmC6;;;;;;;;;;;;;;;;;;;;;
Інвітро (Незалежна лабораторія);;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_54ef2f217661f.jpg;г. Чернигов, ул. 1-го Мая, 161;https://goo.gl/maps/FgYMTWFDzYYJ5N5s5;;"Незалежна лабораторія ІНВІТРО - сучасна міжнародна компанія, що розвиває мережу медичних офісів та лабораторних комплексів на території України, Республіки Білорусь, Казахстану та Росії. В Україні ІНВІТРО почала свою діяльність з 2010 року, відкривши в місті Дніпропетровську власний лабораторний комплекс (окремо розташована 5-ти поверхова будівля загальною площею 1500 кв. м).

Клініко-діагностична лабораторія оснащена сучасним обладнанням кращих світових виробників, в роботі використовуються відповідні тест-системи. Лабораторний комплекс ІНВІТРО представлений відділами загальноклінічних досліджень, біохімії, імунохімії, мікробіологічних та ПЛР - досліджень, а також допоміжними підрозділами.

Перший медичний офіс ІНВІТРО відкрив свої двері жителям Дніпропетровська 1 грудня 2010. У цьому ж місяці на території України розпочалася програма «Франчайзинг ІНВІТРО». Сьогодні в мережу ІНВІТРО входять 50 медичних офісів.

Клієнтами Незалежної лабораторії ІНВІТРО насьогодні є більш 420 медичних центрів. Більш 3 000 фахівців охорони здоров'я довіряють виконання аналізів своїх пацієнтів ІНВІТРО.

Принцип роботи Незалежної лабораторії ІНВІТРО — якість на кожному етапі лабораторного дослідження. ІНВІТРО є постійним учасником міжнародних програм контролю якості, в лабораторії проводиться щоденний внутрішній контроль якості.

Якщо аналізи, то ІНВІТРО!";;;;;"<div id=""buAbout"">
<div class=""text block"">
<div class=""items"">
<div class=""item"">У медичних офісах Незалежної лабораторії ІНВIТРО у м. Чернігів ви можете отримати наступні послуги:

Взяття гінекологічного матеріалу
Взяття крові, сечі, калу
Взяття урологічного матеріалу
Видача результатів</div>
</div>
</div>
</div>
<div id=""buMap"">
<div>
<div id=""mapCPanelwm"">
<div>
<div>
<div></div>
</div>
</div>
</div>
</div>
</div>";;;;;;;;;;;;;;
Турбота (агенція по догляду за хворими та людьми похилого віку. Агентство по уходу за больными и престарелыми людьми);;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_58568bbc7efb1.jpg;г. Чернигов, ул. Белова, 29;https://goo.gl/maps/sohsR3HcDMZmyLZ16;;"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Перша професійна агенція по догляду за хворими та людьми похилого віку в місті Чернігові.
В агенції працюють медичні сестри з досвідом роботи. Вони допоможуть хворим адаптуватись після операції, обо після тяжкої хвороби, а рідним хворих не почувати себе винними через брак часу і неможливість приділити їм достатньої уваги.</div>
</div>
</div>
<div class=""text block""></div>";;;;;"Наша патронажна служба займається:

медичним патронажем дорослих та людей похилого віку;

професійним доглядом за хворими на стаціонарному лікуванні і в домашніх умовах.

медичні сестри доглядають за хворими з онкологічними захворюваннями, незалежно від стадії розвитку пухлини;

допомагають в реабілітації тим, хто отримав травми різної тяжкості і локалізації;

забезпечують догляд за пацієнтами після перенесеного оперативного втручання. У цьому випадку, наші доглядальниці також виконують профілактичні заходи, що перешкоджають виникненню післяопераційних ускладнень, пролежнів;

опікуються хворими, які перенесли інфаркт міокарда, пневмонію.
Виробляються всі терапевтичні процедури, що забезпечують швидке одужання;

організовують догляд і допомогу в реабілітації пацієнтам неврологічного відділення після нейрохірургічних процедур, паралічу і т.д.";"<div class=""text block"">
<div class=""items"">
<div class=""item"">За додатковою інформацією звертайтесь за телефоном
+ 38(063) 64 87 0 87
+ 38(096) 86 3 86 06
або пишіть на пошту olha_oleksiy@ukr.net
Лікар ревматолог Олексійченко Ольга на період карантину проводить консультації онлайн сторінка в ФВ https://www.facebook.com/rheumatologist.private.medical.practice/
зв'язок на мобільні номери +38 (063) 64 87 0 87
+ 38(096) 86 3 86 06

при необхідності консультація проводиться по скайпу.</div>
</div>
</div>
<div class=""text block""></div>";;;;;;;;;;;;;
БАК лаборатория;;;г. Чернигов, ул. 1-го Мая, 168;https://goo.gl/maps/WjLKKTKrNTJUqHMk7;;"<div id=""buAbout"">
<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Бак лаборатория</div>
</div>
</div>
</div>
<div id=""buMap"">
<div>
<div id=""mapCPanelwm"">
<div>
<div>
<div></div>
</div>
</div>
</div>
</div>
</div>";;;;;;;;;;;;;;;;;;;
Анонимные Алкоголики А.А. (группа Рубикон с 10.05.1995);;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_59ea5cd9a3038.png;г. Чернигов, ул. Ремесленная (ул. Комсомольская), 49, кабинет 13;https://goo.gl/maps/qEEAX64G2HgtjpsT6;;"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Хотите бросить пить? — Попробуйте с нами.
Мы все были на Вашем месте.

Кто мы?

Группа «АА» — частица всемирного сообщества Анонимных Алкоголиков® (AA), которое объединяет мужчин и женщин, делящихся между собой опытом, силами и надеждами с целью помочь друг другу избавиться от алкоголизма. АА существует с 1935г., присутствует в 180 странах, число членов в мире превышает 2,5 млн.

Как вы можете присоединиться к АА?

Единственное условие для членства в АА — это желание бросить пить. Члены АА не платят ни вступительных, ни членских взносов. Мы сами себя содержим благодаря нашим добровольным пожертвованиям. Наша помощь бесплатна и доступна каждому, кто о ней попросит.

АА не связано ни с какой сектой, вероисповеданием, политическим направлением, организацией или учреждением, не вступает в полемику по каким бы то ни было вопросам, не поддерживает и не выступает против чьих бы то ни было интересов.

Наша главная цель — оставаться трезвыми и помочь другим алкоголикам обрести трезвость.</div>
</div>
</div>";;;;;;;;;;;;;;;;;;;
"Анонимные Алкоголики А.А. (группа ""В решении"" работает с 2016 г.)";;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_59ea5cd9a3038.png;г. Чернигов, ул. Ремесленная (ул. Комсомольская), 49, кабинет 13;https://goo.gl/maps/qEEAX64G2HgtjpsT6;;"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Хотите бросить пить? — Попробуйте с нами.
Мы все были на Вашем месте.Кто мы?

Группа «АА» — частица всемирного сообщества Анонимных Алкоголиков® (AA), которое объединяет мужчин и женщин, делящихся между собой опытом, силами и надеждами с целью помочь друг другу избавиться от алкоголизма. АА существует с 1935г., присутствует в 180 странах, число членов в мире превышает 2,5 млн.

Как вы можете присоединиться к АА?

Единственное условие для членства в АА — это желание бросить пить. Члены АА не платят ни вступительных, ни членских взносов. Мы сами себя содержим благодаря нашим добровольным пожертвованиям. Наша помощь бесплатна и доступна каждому, кто о ней попросит.

АА не связано ни с какой сектой, вероисповеданием, политическим направлением, организацией или учреждением, не вступает в полемику по каким бы то ни было вопросам, не поддерживает и не выступает против чьих бы то ни было интересов.

Наша главная цель — оставаться трезвыми и помочь другим алкоголикам обрести трезвость.

</div>
</div>
</div>";;;;;;;;;;;;;;;;;;;
Гарячая линия Анонимные Алкоголики А.А. ( для тех кто хочет бросить пить);;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_59ea5cd9a3038.png;г. Чернигов, ул. Ремесленная (ул. Комсомольская), 49, кабинет 13;https://goo.gl/maps/qEEAX64G2HgtjpsT6;;"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Хотите бросить пить? — Попробуйте с нами.
Мы все были на Вашем месте.Кто мы?

Группа «АА» — частица всемирного сообщества Анонимных Алкоголиков® (AA), которое объединяет мужчин и женщин, делящихся между собой опытом, силами и надеждами с целью помочь друг другу избавиться от алкоголизма. АА существует с 1935г., присутствует в 180 странах, число членов в мире превышает 2,5 млн.

Как вы можете присоединиться к АА?

Единственное условие для членства в АА — это желание бросить пить. Члены АА не платят ни вступительных, ни членских взносов. Мы сами себя содержим благодаря нашим добровольным пожертвованиям. Наша помощь бесплатна и доступна каждому, кто о ней попросит.

АА не связано ни с какой сектой, вероисповеданием, политическим направлением, организацией или учреждением, не вступает в полемику по каким бы то ни было вопросам, не поддерживает и не выступает против чьих бы то ни было интересов.

Наша главная цель — оставаться трезвыми и помочь другим алкоголикам обрести трезвость.

</div>
</div>
</div>";;;;;;;;;;;;;;;;;;;
Echo Health (частный медицинский кабинет УЗИ);;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_5e99d3f37ab19.png;г. Чернигов, ул. 1-го Мая, 168, кабинет 31 поликлиника городской больницы №2, 2-й этаж, каб №31;https://goo.gl/maps/uaEvEpZ7iGf1SzRs6;;"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Частный кабинет УЗ-диагностики.
Консультации кардиологического и сердечно-сосудистого профиля.</div>
</div>
</div>";;;;;"Ультразвуковая диагностика:
? эхокардиография (сердца)
? сосудов шеи и головы
? сосудов верхних и нижних конечностей
? брюшной аорты и висцеральных веток
? аорты и подвздошных артерий
? сосудов портальной системы
? сосудов почек

? щитовидной/паращитовидной желез
? органов брюшной полости и почек
? диализной фистулы
? коленных суставов
? глазных яблок

Консультации врачей-специалистов:
? кардиолога
? сердечно-сосудистого хирурга";;;;;;;;;;;;;;
